$ JOHN DAY_OUTFLOW.npt based on $//JOHN DAY_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
968.000000,3536.234
969.000000,3044.748
970.000000,3321.849
971.000000,3187.709
972.000000,3260.756
973.000000,3416.12
974.000000,3535.485
975.000000,3398.059
976.000000,3030.314
977.000000,2671.055
978.000000,2632.259
979.000000,2456.144
980.000000,2168.342
981.000000,2343.184
982.000000,2817.769
983.000000,2351.397
984.000000,2119.366
985.000000,2845.781
986.000000,3739.064
987.000000,3072.677
988.000000,3186.061
989.000000,3044.564
990.000000,2470.83
991.000000,2456.019
992.000000,3152.41
993.000000,2923.868
994.000000,2662.557
995.000000,2684.339
996.000000,2981.799
997.000000,2295.769
998.000000,2441.801
999.000000,2404.625
1000.000000,2562.385
1001.000000,2681.576
1002.000000,2643.599
1003.000000,2655.974
1004.000000,2783.72
1005.000000,2820.346
1006.000000,2875.047
1007.000000,3588.993
1008.000000,3081.644
1009.000000,2973.893
1010.000000,2413.764
1011.000000,2511.151
1012.000000,2175.037
1013.000000,2591.914
1014.000000,2730.972
1015.000000,2685.966
1016.000000,3167.491
1017.000000,3241.244
1018.000000,3077.91
1019.000000,2863.411
1020.000000,3007.613
1021.000000,2774.31
1022.000000,3386.393
1023.000000,3661.247
1024.000000,2997.768
1025.000000,2573.853
1026.000000,3249.418
1027.000000,3262.043
1028.000000,3351.052
1029.000000,3052.294
1030.000000,2942.502
1031.000000,2678.153
1032.000000,2537.031
1033.000000,2785.238
1034.000000,2654.494
1035.000000,2459.504
1036.000000,2705.342
1037.000000,2749.891
1038.000000,2379.271
1039.000000,2425.89
1040.000000,3063.526
1041.000000,2965.598
1042.000000,3262.804
1043.000000,3112.224
1044.000000,3358.684
1045.000000,3296.738
1046.000000,3424.111
1047.000000,3066.555
1048.000000,3050.558
1049.000000,3032.309
1050.000000,3054.969
1051.000000,3161.138
1052.000000,3012.229
1053.000000,2580.099
1054.000000,2828.195
1055.000000,2837.175
1056.000000,3044.531
1057.000000,3417.123
1058.000000,3799.624
1059.000000,3516.258
1060.000000,3251.807
1061.000000,3515.142
1062.000000,3509.44
1063.000000,3671.866
1064.000000,3451.308
1065.000000,3472.182
1066.000000,3282.404
1067.000000,3017.105
1068.000000,2931.63
1069.000000,3342.504
1070.000000,3718.176
1071.000000,3575.088
1072.000000,4136.483
1073.000000,4024.294
1074.000000,3685.683
1075.000000,3951.288
1076.000000,4046.951
1077.000000,4073.238
1078.000000,3478.848
1079.000000,3480.72
1080.000000,3357.101
1081.000000,3104.097
1082.000000,3139.02
1083.000000,3215.183
1084.000000,3319.372
1085.000000,3205.119
1086.000000,3342.18
1087.000000,3477.976
1088.000000,3030.689
1089.000000,3073.871
1090.000000,3084.406
1091.000000,3038.867
1092.000000,2987.222
1093.000000,2780.969
1094.000000,3183.644
1095.000000,3199.886
1096.000000,3291.264
1097.000000,3472.445
1098.000000,2983.661
1099.000000,2541
1100.000000,1971.37
1101.000000,2533.62
1102.000000,3310.505
1103.000000,3788.101
1104.000000,4396.388
1105.000000,4186.925
1106.000000,4099.739
1107.000000,4318.764
1108.000000,3344.468
1109.000000,3565.109
1110.000000,3083.455
1111.000000,3150.293
1112.000000,3218.961
1113.000000,3096.654
1114.000000,3369.814
1115.000000,2962.736
1116.000000,2960.862
1117.000000,3800.125
1118.000000,3713.868
1119.000000,3799.226
1120.000000,3580.377
1121.000000,3765.19
1122.000000,3684.567
1123.000000,3837.3
1124.000000,3461.342
1125.000000,3514.273
1126.000000,3275.957
1127.000000,3305.674
1128.000000,3295.845
1129.000000,3203.977
1130.000000,3031.934
1131.000000,3163.317
1132.000000,2980.561
1133.000000,2944.479
1134.000000,3346.434
1135.000000,3814.721
1136.000000,3484.302
1137.000000,3388.386
1138.000000,3528.966
1139.000000,3115.329
1140.000000,2883.873
1141.000000,2284.218
1142.000000,2459.379
1143.000000,3559.579
1144.000000,3175.294
1145.000000,2904.372
1146.000000,3691.308
1147.000000,3414.058
1148.000000,2953.81
1149.000000,3189.778
1150.000000,3332.289
1151.000000,3600.378
1152.000000,3447.323
1153.000000,3426.996
1154.000000,3130.812
1155.000000,3216.773
1156.000000,3061.616
1157.000000,3505.623
1158.000000,3645.399
1159.000000,4524.756
1160.000000,4520.518
1161.000000,4740.997
1162.000000,5149.752
1163.000000,5197.389
1164.000000,6349.81
1165.000000,6615.588
1166.000000,6811.77
1167.000000,6586.933
1168.000000,7320.777
1169.000000,7515.305
1170.000000,6186.052
1171.000000,6305.085
1172.000000,6454.444
1173.000000,6353.015
1174.000000,6173.428
1175.000000,6646.983
1176.000000,6996.873
1177.000000,6593.618
1178.000000,6879.384
1179.000000,6401.762
1180.000000,5917.911
1181.000000,5662.381
1182.000000,6059.077
1183.000000,5590.087
1184.000000,5353.763
