$ ICE HARBOR_OUTFLOW.npt based on $//ICE HARBOR_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1123.000000,578.962
1124.000000,545.943
1125.000000,595.794
1126.000000,642.018
1127.000000,530.991
1128.000000,434.84
1129.000000,507.298
1130.000000,539.356
1131.000000,503.984
1132.000000,549.152
1133.000000,754.448
1134.000000,447.94
1135.000000,853.906
1136.000000,540.135
1137.000000,475.603
1138.000000,557.975
1139.000000,495.544
1140.000000,821.601
1141.000000,907.451
1142.000000,698.286
1143.000000,977.558
1144.000000,1321.62
1145.000000,843.17
1146.000000,1121.748
1147.000000,1183.011
1148.000000,979.756
1149.000000,1054.366
1150.000000,801.175
1151.000000,963.241
1152.000000,907.135
1153.000000,1154.932
1154.000000,896.773
1155.000000,889.208
1156.000000,905.517
1157.000000,1091.485
1158.000000,982.536
1159.000000,1502.866
1160.000000,1373.605
1161.000000,1947.005
1162.000000,2337.467
1163.000000,2607.149
1164.000000,3089.699
1165.000000,2975.969
1166.000000,3280.366
1167.000000,3272.625
1168.000000,3543.471
1169.000000,3524.708
1170.000000,2404.997
1171.000000,2140.771
1172.000000,2352.677
1173.000000,2147.506
1174.000000,2002.426
1175.000000,2135.352
1176.000000,2241.52
1177.000000,1678.068
1178.000000,1920.841
1179.000000,1651.637
1180.000000,1657.037
1181.000000,1602.059
1182.000000,1360.995
1183.000000,1658.97
1184.000000,1768.235
1185.000000,2492.39
1186.000000,2082.071
1187.000000,2615.912
1188.000000,2185.833
1189.000000,1991.555
1190.000000,2180.795
1191.000000,2010.404
1192.000000,1991.292
1193.000000,2147.156
1194.000000,2069.443
1195.000000,2064.164
1196.000000,2379.843
1197.000000,2122.077
1198.000000,2386.943
1199.000000,2541.155
1200.000000,2358.343
1201.000000,2476.855
1202.000000,2312.681
1203.000000,2392.505
1204.000000,2003.995
1205.000000,2113.278
1206.000000,2313.753
1207.000000,2153.195
1208.000000,2157.176
1209.000000,2046.482
1210.000000,2491.201
1211.000000,2159.29
1212.000000,2273.094
1213.000000,2344.775
1214.000000,2485.539
1215.000000,1864.266
1216.000000,1930.659
1217.000000,2076.692
1218.000000,2256.561
1219.000000,2020.459
1220.000000,2249.743
1221.000000,2559.774
1222.000000,2821.641
1223.000000,2790.821
1224.000000,2910.485
1225.000000,2647.085
1226.000000,2532.101
1227.000000,2478.413
1228.000000,2301.535
1229.000000,2326.75
1230.000000,2151.212
1231.000000,2028.181
1232.000000,2004.354
1233.000000,2211.211
1234.000000,2822.62
1235.000000,3092.466
1236.000000,3174.168
1237.000000,3606.425
1238.000000,3307.743
1239.000000,3195.124
1240.000000,3174.587
1241.000000,3917.336
1242.000000,3882.642
1243.000000,4239.035
1244.000000,3973.173
1245.000000,4074.815
1246.000000,3862.398
1247.000000,3759.129
1248.000000,3623.652
1249.000000,3611.132
1250.000000,3417.702
1251.000000,3384.039
1252.000000,3334.296
1253.000000,3281.025
1254.000000,3310.912
1255.000000,3048.72
1256.000000,2926.723
1257.000000,3057.445
1258.000000,2813.862
1259.000000,2667.101
1260.000000,2800.205
1261.000000,2423.553
1262.000000,2496.292
1263.000000,2257.587
1264.000000,2123.729
1265.000000,1813.924
1266.000000,2080.123
1267.000000,2008.476
1268.000000,2054.507
1269.000000,1802.748
1270.000000,1754.77
1271.000000,2036.238
1272.000000,2022.062
1273.000000,1759.147
1274.000000,1889.451
1275.000000,1901.249
1276.000000,1855.035
1277.000000,2030.907
1278.000000,2221.301
1279.000000,1983.71
1280.000000,1960.657
1281.000000,1896.391
1282.000000,1805.576
1283.000000,1839.789
1284.000000,1667.386
1285.000000,1619.78
1286.000000,1512.717
1287.000000,1518.35
1288.000000,1566.988
1289.000000,1557.936
1290.000000,1441.578
1291.000000,1391.748
1292.000000,1378.478
1293.000000,1358.383
1294.000000,1151.287
1295.000000,1351.033
1296.000000,978.378
1297.000000,1204.246
1298.000000,1012.747
1299.000000,1116.427
1300.000000,1182.38
1301.000000,975.697
1302.000000,981.95
1303.000000,1064.948
1304.000000,855.755
1305.000000,940.293
1306.000000,1073.941
1307.000000,963.43
1308.000000,1100.074
1309.000000,1109.13
1310.000000,890.399
1311.000000,986.766
1312.000000,981.364
1313.000000,929.321
1314.000000,824.487
1315.000000,872.848
1316.000000,699.69
1317.000000,833.122
1318.000000,738.578
1319.000000,899.827
1320.000000,875.184
1321.000000,770.009
1322.000000,868.52
1323.000000,937.404
1324.000000,763.301
1325.000000,992.029
1326.000000,812.562
1327.000000,688.101
1328.000000,764.664
1329.000000,702.312
1330.000000,616.498
1331.000000,654.145
1332.000000,719.308
1333.000000,703.625
1334.000000,615.128
1335.000000,823.874
1336.000000,794.953
1337.000000,666.836
1338.000000,727.484
1339.000000,736.561
1340.000000,757.344
1341.000000,747.23
1342.000000,445.119
1343.000000,479.557
1344.000000,585.715
1345.000000,495.623
1346.000000,680.031
1347.000000,510.83
1348.000000,618.603
