                                                                              Part#,Seg#,XLocationwithinSegmentfromUpstreamSide(m),Layer#,VerticalDistfromTop(m),LateralDistfromLeftBank,Branch#,ParticleInModel(=0),JDAYleftsystem,DetentionTime(days),RemovalMechanism,SedVelocity(m/d),DateStart
    161,     62.000,     0.000,   111.000,     0.000,   663.725,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    162,     62.000,     0.000,   111.000,     0.400,   663.725,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    163,     62.000,     0.000,   111.000,     0.800,   663.725,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    164,     62.000,     0.000,   111.000,     1.200,   663.725,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    165,     62.000,     0.000,   111.000,     1.600,   663.725,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    166,     62.000,     0.000,   112.000,     0.000,   650.100,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    167,     62.000,     0.000,   112.000,     0.400,   650.100,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    168,     62.000,     0.000,   112.000,     0.800,   650.100,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    169,     62.000,     0.000,   112.000,     1.200,   650.100,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    170,     62.000,     0.000,   112.000,     1.600,   650.100,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    171,     62.000,     0.000,   113.000,     0.000,   635.980,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    172,     62.000,     0.000,   113.000,     0.400,   635.980,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    173,     62.000,     0.000,   113.000,     0.800,   635.980,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    174,     62.000,     0.000,   113.000,     1.200,   635.980,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    175,     62.000,     0.000,   113.000,     1.600,   635.980,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    176,     62.000,     0.000,   114.000,     0.000,   621.045,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    177,     62.000,     0.000,   114.000,     0.400,   621.045,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    178,     62.000,     0.000,   114.000,     0.800,   621.045,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    179,     62.000,     0.000,   114.000,     1.200,   621.045,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    180,     62.000,     0.000,   114.000,     1.600,   621.045,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    181,     62.000,     0.000,   115.000,     0.000,   603.690,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    182,     62.000,     0.000,   115.000,     0.400,   603.690,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    183,     62.000,     0.000,   115.000,     0.800,   603.690,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    184,     62.000,     0.000,   115.000,     1.200,   603.690,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    185,     62.000,     0.000,   115.000,     1.600,   603.690,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    186,     62.000,     0.000,   116.000,     0.000,   583.795,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    187,     62.000,     0.000,   116.000,     0.400,   583.795,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    188,     62.000,     0.000,   116.000,     0.800,   583.795,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    189,     62.000,     0.000,   116.000,     1.200,   583.795,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    190,     62.000,     0.000,   116.000,     1.600,   583.795,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    191,     62.000,     0.000,   117.000,     0.000,   562.995,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    192,     62.000,     0.000,   117.000,     0.400,   562.995,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    193,     62.000,     0.000,   117.000,     0.800,   562.995,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    194,     62.000,     0.000,   117.000,     1.200,   562.995,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    195,     62.000,     0.000,   117.000,     1.600,   562.995,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    196,     62.000,     0.000,   118.000,     0.000,   542.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    197,     62.000,     0.000,   118.000,     0.400,   542.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    198,     62.000,     0.000,   118.000,     0.800,   542.325,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
