$ LOWER MONUMENTAL_OUTFLOW.npt based on $//LOWER MONUMENTAL_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1188.000000,2105.744
1189.000000,1987.479
1190.000000,2019.829
1191.000000,1967.825
1192.000000,1989.271
1193.000000,2050.534
1194.000000,2032.169
1195.000000,2055.252
1196.000000,2182.661
1197.000000,2168.846
1198.000000,2363.475
1199.000000,2394.379
1200.000000,2318.643
1201.000000,2389.33
1202.000000,2251.692
1203.000000,2131.19
1204.000000,1984.731
1205.000000,2093.71
1206.000000,2213.037
1207.000000,2093.081
1208.000000,2066.87
1209.000000,2078.296
1210.000000,2270.61
1211.000000,2125.581
1212.000000,2255.509
1213.000000,2347.08
1214.000000,2309.994
1215.000000,1750.255
1216.000000,2007.169
1217.000000,1947.193
1218.000000,2095.519
1219.000000,1966.734
1220.000000,2264.446
1221.000000,2602.679
1222.000000,2765.464
1223.000000,2811.776
1224.000000,2714.967
1225.000000,2467.915
1226.000000,2410.326
1227.000000,2380.62
1228.000000,2304.274
1229.000000,2233.998
1230.000000,2036.925
1231.000000,1929.726
1232.000000,1990.729
1233.000000,2263.516
1234.000000,2781.301
1235.000000,3031.795
1236.000000,3259.919
1237.000000,3419.231
1238.000000,3052.184
1239.000000,3011.515
1240.000000,3218.01
1241.000000,3752.427
1242.000000,3905.555
1243.000000,3974.931
1244.000000,3832.274
1245.000000,3814.179
1246.000000,3691.808
1247.000000,3615.594
1248.000000,3471.372
1249.000000,3342.188
1250.000000,3303.409
1251.000000,3245.145
1252.000000,3182.525
1253.000000,3213.399
1254.000000,3161.545
1255.000000,2980.069
1256.000000,2874.266
1257.000000,2848.922
1258.000000,2691.901
1259.000000,2635.825
1260.000000,2634.555
1261.000000,2395.78
1262.000000,2409.977
1263.000000,2170.328
1264.000000,1940.255
1265.000000,1893.753
1266.000000,2040.995
1267.000000,1907.945
1268.000000,1880.175
1269.000000,1734.698
1270.000000,1786.797
1271.000000,1969.484
1272.000000,1882.546
1273.000000,1759.199
1274.000000,1833.179
1275.000000,1828.664
1276.000000,1786.647
1277.000000,1950.871
1278.000000,2100.938
1279.000000,1900.185
1280.000000,1832.804
1281.000000,1825.676
1282.000000,1795.052
1283.000000,1720.899
1284.000000,1566.352
1285.000000,1518.168
1286.000000,1532.414
1287.000000,1538.006
1288.000000,1480.1
1289.000000,1431.276
1290.000000,1376.167
1291.000000,1368.394
1292.000000,1393.103
1293.000000,1270.425
1294.000000,1103.781
1295.000000,1152.565
1296.000000,988.891
1297.000000,1148.105
1298.000000,1040.975
1299.000000,1087.967
1300.000000,1096.072
1301.000000,974.158
1302.000000,933.231
1303.000000,951.708
1304.000000,817.786
1305.000000,921.788
1306.000000,979.166
1307.000000,929.37
1308.000000,1075.714
1309.000000,1013.622
1310.000000,975.377
1311.000000,928.437
1312.000000,934.488
1313.000000,876.491
1314.000000,828.661
1315.000000,786.844
1316.000000,708.57
1317.000000,812.789
1318.000000,743.195
1319.000000,821.214
1320.000000,803.844
1321.000000,806.766
1322.000000,857.06
1323.000000,871.886
1324.000000,796.567
1325.000000,917.159
1326.000000,739.494
1327.000000,677.796
1328.000000,721.417
1329.000000,667.534
1330.000000,612.792
1331.000000,615.674
1332.000000,663.349
1333.000000,672.991
1334.000000,632.304
1335.000000,775.761
1336.000000,729.245
1337.000000,641.511
1338.000000,689.057
1339.000000,688.893
1340.000000,701.158
1341.000000,683.396
1342.000000,557.97
1343.000000,577.391
