SEGMENT#, BRANCH#, XC, YC, UTMZONE
429, 23,   430262.59952,  5297504.98565, 11
428, 23,   430369.82930,  5297281.05832, 11
427, 23,   430532.07982,  5297090.98519, 11
426, 23,   430701.40129,  5296906.13935, 11
425, 23,   430862.58055,  5296713.45192, 11
424, 23,   431018.74622,  5296516.98001, 11
423, 23,   431146.74453,  5296301.78717, 11
422, 23,   431254.13545,  5296074.61425, 11
421, 23,   431376.76520,  5295856.19876, 11
420, 23,   431515.85916,  5295646.91915, 11
419, 23,   431639.71430,  5295428.88213, 11
554, 24,   399275.68783,  5296502.21663, 11
553, 24,   399806.33340,  5296492.02504, 11
552, 24,   400293.32724,  5296370.67750, 11
551, 24,   400780.01186,  5296251.98832, 11
550, 24,   401313.30606,  5296287.12784, 11
549, 24,   401809.19296,  5296150.31222, 11
548, 24,   402220.20408,  5295815.07611, 11
547, 24,   402598.90983,  5295437.27404, 11
582, 25,   375358.42924,  5319462.95037, 11
581, 25,   375140.33669,  5319928.39770, 11
580, 25,   374988.78597,  5320412.84876, 11
579, 25,   374920.51169,  5320922.43973, 11
578, 25,   374909.46746,  5321433.83935, 11
577, 25,   375027.75306,  5321927.88235, 11
576, 25,   375272.76942,  5322376.38179, 11
575, 25,   375498.47105,  5322831.93166, 11
574, 25,   375579.46786,  5323333.83447, 11
573, 25,   375588.46512,  5323847.91126, 11
572, 25,   375625.66778,  5324360.15212, 11
571, 25,   375699.93824,  5324868.76737, 11
570, 25,   375833.99690,  5325362.75144, 11
569, 25,   376090.18002,  5325799.98592, 11
568, 25,   376405.17414,  5326205.85130, 11
567, 25,   376657.02603,  5326650.86524, 11
566, 25,   376792.82950,  5327141.55892, 11
565, 25,   376769.25404,  5327647.18320, 11
564, 25,   376708.96195,  5328154.95445, 11
563, 25,   376783.99829,  5328656.84777, 11
562, 25,   376930.99694,  5329149.44946, 11
561, 25,   377009.85025,  5329654.09985, 11
560, 25,   377113.09681,  5330150.66657, 11
559, 25,   377134.22918,  5330637.19930, 11
558, 25,   376931.72473,  5331105.44432, 11
557, 25,   376731.69233,  5331574.39533, 11
